Date,Open,High,Low,Close,Volume,Market Cap
22-Jun-19,139.04,146.43,138.48,141.90,5488615002.00,8847068564.00
21-Jun-19,135.51,141.07,135.51,138.88,4378260963.00,8656823083.00
20-Jun-19,136.60,137.08,132.64,135.48,3880682308.00,8442646197.00
19-Jun-19,135.15,139.34,134.03,136.60,4383960510.00,8510498678.00
18-Jun-19,134.47,135.92,129.75,135.16,3720828769.00,8418405570.00
17-Jun-19,137.13,137.28,133.05,134.44,3230230843.00,8371507504.00
16-Jun-19,138.15,138.79,134.54,137.12,4372645801.00,8536706967.00
15-Jun-19,133.18,139.19,133.14,138.13,4329002013.00,8597209351.00
14-Jun-19,131.31,133.18,126.86,133.05,4352005824.00,8279439669.00
13-Jun-19,135.68,136.89,129.14,131.35,4947794845.00,8171623427.00
12-Jun-19,136.09,142.71,132.24,135.65,5855623530.00,8437276930.00
11-Jun-19,129.26,138.15,125.96,136.03,5441787587.00,8458730745.00
10-Jun-19,115.00,129.71,113.17,129.07,5449266884.00,8024339041.00
9-Jun-19,118.59,119.13,112.57,115.13,4360301111.00,7156126160.00
8-Jun-19,117.28,119.50,114.46,118.55,4689557936.00,7366835517.00
7-Jun-19,110.98,120.64,109.59,117.37,5140908477.00,7291832561.00
6-Jun-19,103.81,111.33,102.09,111.11,4142250662.00,6900772772.00
5-Jun-19,102.12,104.84,101.22,103.85,3585162872.00,6448454322.00
4-Jun-19,107.37,107.37,99.29,102.09,4316694183.00,6337614783.00
3-Jun-19,114.67,115.91,106.46,107.47,3832352496.00,6670082970.00
2-Jun-19,112.71,116.25,111.91,114.70,3434073037.00,7117549253.00
1-Jun-19,114.47,115.61,111.68,112.62,3807158511.00,6986544718.00
31-May-19,108.70,114.63,105.91,114.54,4207966341.00,7103874448.00
30-May-19,115.14,119.74,105.30,108.80,4971290022.00,6746180187.00
29-May-19,114.93,117.87,110.47,115.08,4122926836.00,7134213755.00
28-May-19,117.89,117.89,112.99,114.93,4171886802.00,7123212215.00
27-May-19,111.44,120.69,111.13,118.03,6355361291.00,7313766498.00
26-May-19,102.70,112.67,99.74,111.42,5168378349.00,6902346395.00
25-May-19,100.05,104.11,98.72,102.67,4507357465.00,6358963965.00
24-May-19,88.97,102.75,88.32,99.90,5393657682.00,6185976031.00
23-May-19,88.20,89.74,85.23,89.18,3208807269.00,5520439405.00
22-May-19,91.51,92.00,87.55,88.21,3398528443.00,5459427424.00
21-May-19,91.57,92.44,89.59,91.51,3145769021.00,5662154168.00
20-May-19,95.34,95.34,88.57,91.49,3566921483.00,5659972915.00
